ch,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
123,90,82,77,74,70,67,65,62,60,57,54,52,50,46,43,39,34,27,16
124,82,76,71,68,65,63,60,58,56,54,52,50,47,45,42,39,36,32,26
125,87,79,74,70,67,64,61,58,56,53,50,47,45,41,38,33,26,17,8
126,179,165,156,149,143,137,132,127,123,118,114,109,104,98,92,84,75,62,43
127,184,167,157,149,142,136,131,125,120,115,109,104,98,91,82,72,56,35,13
128,90,81,76,71,68,65,62,59,56,54,51,48,45,42,37,32,23,12,7
129,106,95,88,83,79,76,72,69,66,63,60,57,54,50,46,40,32,22,10
130,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6
131,129,117,110,104,99,95,91,88,84,80,77,72,68,64,58,51,42,29,14
132,187,168,155,146,139,132,125,119,113,107,101,94,87,79,68,55,34,13,8
133,135,122,113,107,102,98,94,90,86,83,79,75,71,67,62,56,49,38,23
134,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
135,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
136,145,132,124,118,113,109,104,100,96,92,88,84,79,74,67,59,47,30,12
137,9,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6
138,176,159,149,140,134,128,122,117,112,107,101,96,90,83,75,65,52,32,13
139,12,11,11,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6
140,185,169,158,151,144,138,133,128,123,117,112,106,100,93,83,71,52,28,9
141,128,115,107,101,97,92,88,84,81,77,73,70,66,61,56,49,40,27,12
142,85,77,73,69,66,63,61,58,56,54,52,49,47,44,40,36,30,21,11
143,138,124,115,109,103,98,94,89,85,81,77,72,67,61,53,42,26,10,7
144,109,98,92,87,82,78,75,72,69,66,62,59,56,52,47,41,33,21,9
145,131,118,110,104,98,94,90,86,82,79,75,71,67,62,57,49,39,24,9
146,158,144,135,128,123,118,113,108,104,99,94,89,83,76,66,53,34,13,7
147,193,176,165,157,150,144,139,133,128,123,118,112,106,99,91,81,66,45,20
148,21,18,17,15,14,13,12,11,10,10,9,9,9,8,8,8,7,7,7
149,90,82,77,72,69,66,63,60,58,55,52,49,46,43,39,34,26,15,8
150,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
151,164,148,139,132,125,120,115,110,105,101,96,91,86,80,73,65,53,37,17
152,10,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6
153,132,120,113,107,103,99,95,91,88,85,81,78,74,69,64,57,48,33,17
154,112,101,95,89,85,81,78,74,71,68,65,62,58,54,49,43,35,23,10
155,93,83,78,74,70,67,64,62,59,57,54,52,49,46,42,38,33,24,14
156,130,117,109,103,98,94,90,86,82,78,75,71,66,62,56,49,40,27,12
157,93,83,78,73,70,66,63,61,58,55,53,50,47,44,40,35,30,21,11
158,169,154,145,137,131,126,121,116,111,106,102,97,91,84,76,65,49,27,8
159,158,143,134,127,121,116,111,106,102,97,93,88,83,78,71,62,51,34,16
160,90,81,76,72,68,65,63,60,58,55,52,50,47,44,40,35,29,20,11
161,92,83,78,74,70,67,64,62,59,56,54,51,48,45,41,37,31,22,11
162,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
163,89,80,75,70,67,64,61,59,56,54,51,48,45,42,38,34,28,19,9
164,88,79,74,70,67,64,61,58,56,54,51,49,46,43,40,36,31,23,13
165,101,91,85,80,76,73,70,67,64,61,59,56,53,49,46,41,35,26,16
166,94,84,79,75,71,68,65,62,59,57,54,51,49,45,42,37,31,21,10
167,31,28,26,25,23,22,21,20,20,19,18,17,16,15,14,13,11,9,7
168,87,79,73,69,66,63,60,58,55,53,50,48,45,42,38,34,27,18,9
169,174,158,148,141,134,129,123,119,114,109,104,99,94,87,80,72,60,43,20
170,184,168,158,150,144,138,132,127,122,118,113,107,102,95,88,78,65,45,21
171,129,116,108,102,97,92,88,84,81,77,73,69,65,60,54,47,36,21,8
172,148,135,127,120,115,111,106,102,98,93,89,84,80,74,66,55,38,17,8
173,94,85,79,75,71,68,65,62,59,57,54,51,48,45,41,37,30,21,11
174,89,80,75,71,67,65,62,59,57,55,52,50,47,44,40,36,31,23,13
175,163,148,139,132,126,120,115,110,105,100,95,89,82,74,61,43,21,10,8
176,111,100,93,88,84,80,77,73,70,67,64,61,58,54,50,45,39,30,18
177,118,105,98,92,88,84,80,76,73,70,66,63,59,55,51,45,37,26,12
178,10,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
179,92,83,78,73,70,67,64,61,59,56,53,51,48,45,41,37,31,22,12
180,177,161,152,144,138,132,127,122,117,112,107,101,95,88,78,64,42,17,7
181,195,177,166,157,150,144,138,132,127,122,116,110,104,98,90,81,68,50,26
182,126,115,108,102,97,93,89,86,82,79,75,71,67,62,56,48,37,21,10
183,10,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,6,6,6
184,90,81,75,71,67,64,61,59,56,54,51,48,46,43,40,36,31,24,14
185,162,147,137,131,125,120,115,111,106,102,97,92,87,81,73,64,50,31,12
186,149,135,127,121,115,110,106,102,98,94,90,86,81,75,69,61,47,29,10
187,156,141,133,126,121,116,111,107,102,98,94,89,84,79,72,62,49,30,11
